name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Budget Inn & Suites · Visited link,"Budget Inn & Suits, 1909, 105/1909 NJ-35, Wall Township, NJ 07719",,(732) 449-6146,289,2.3,40.1573015,-74.1962322
Ocean Place Resort & Spa · Visited link,"1 Ocean Blvd, Long Branch, NJ 07740",oceanplace.com,(732) 571-4000,,,40.1573015,-74.1962322
The Hub Middletown: A Best Western Signature Hotel · Visited link,"750 NJ-35, Middletown Township, NJ 07748",thehubmiddletown.com,(732) 671-3400,,,40.1573015,-74.1962322
Village Inn · Visited link,"260 NJ-34, Colts Neck, NJ 07722",villageinncoltsneck.com,(732) 294-8666,155,2.4,40.2765445,-74.3143853
Hotel Charlee Palm Villas - Beach Hotel · Visited link,"1211 Boulevard, Seaside Heights, NJ 08751",palmvillasuites.com,(732) 830-2400,126,2.2,39.9458122,-74.2174336
MonmouthOYO · Visited link,"3304 NJ-66, Neptune Township, NJ 07753",,(225) 288-3578,31,1.6,40.2286869,-74.2079198
Cappuccio's Hotel · Visited link,"2 Maplewood Ave, Keansburg, NJ 07734",,(732) 787-4333,33,3.2,40.4494185,-74.2833223
Ocean Vista Hotel · Visited link,"13 Ocean Ave N, Ocean Grove, NJ 07756",oceanvistahotel.com,(732) 776-2500,53,4.6,40.2126699,-74.1475157
Executive Inn and Suites · Visited link,"4035 NJ-33, Neptune City, NJ 07753",,(732) 922-9050,56,3.0,40.2177572,-74.2484356
Asbury Inn · Visited link,"305 7th Ave, Asbury Park, NJ 07712",,(732) 988-2157,16,4.2,40.2276755,-74.1453798
Shawmont Hotel · Visited link,"17 Ocean Ave N, Ocean Grove, NJ 07756",shawmont.com,(732) 776-6985,113,4.4,40.2276755,-74.1453798
The Breakers on the Ocean · Visited link,"1507 Ocean Ave N, Spring Lake, NJ 07762",breakershotel.com,(732) 449-7700,957,4.4,40.2276755,-74.1453798
Saltwater Inn · Visited link,"300 10th Ave, Belmar, NJ 07719",saltwaterinnbelmar.com,(732) 681-1047,58,4.6,40.2276755,-74.1453798
House By the Sea · Visited link,"14 Ocean Ave N, Ocean Grove, NJ 07756",thehousebytheseaog.com,(732) 774-4771,15,4.5,40.2276755,-74.1453798
Sandpiper Guest House · Visited link,"19 Ocean Pathway, Ocean Grove, NJ 07756",sandpiperguests.com,(732) 774-6261,5,5.0,40.2276755,-74.1453798
Albatross Hotel · Visited link,"34 Ocean Pathway, Ocean Grove, NJ 07756",albatross1881.com,(732) 775-2085,75,4.1,40.2276755,-74.1453798
The Allenhurst Apartments · Visited link,"40 Pitman Ave, Ocean Grove, NJ 07756",theallenhurst.com,(908) 336-1023,11,3.7,40.2276755,-74.1453798
Beach Liner Hotel Ocean Grove · Visited link,"7 Main Ave, Ocean Grove, NJ 07756",beachlinerhotel.com,(732) 775-2424,29,4.7,40.2276755,-74.1453798
Manchester Inn · Visited link,"25 Ocean Pathway, Ocean Grove, NJ 07756",themanchesterinn.com,(732) 775-0616,,,40.2276755,-74.1453798
Shore Inn at Ocean Grove · Visited link,"27 Webb Ave, Ocean Grove, NJ 07756",theinnatoceangrove.com,(732) 775-8847,141,4.7,40.2276755,-74.1453798
Lillagaard Bed & Breakfast · Visited link,"5 Abbott Ave, Ocean Grove, NJ 07756",lillagaard.com,(732) 988-1216,105,4.4,40.2276755,-74.1453798
"The Ocean House Bed and Breakfast & Hotel in Spring Lake, NJ · Visited link","102 Sussex Ave, Spring Lake, NJ 07762",theoceanhouse.net,(732) 449-9090,129,4.8,40.2276755,-74.1453798
Selah @ 7 Ocean · Visited link,"7 Ocean Ave N, Ocean Grove, NJ 07756",selahoceangrove.com,(848) 828-9671,43,4.9,40.2276755,-74.1453798
Bath Avenue Guest House · Visited link,"37 Bath Ave, Ocean Grove, NJ 07756",bathaveguesthouse.com,(732) 859-0565,64,4.9,40.2276755,-74.1453798
Super 8 by Wyndham Asbury Park · Visited link,"735 NJ-35, Asbury Park, NJ 07712",wyndhamhotels.com,(732) 455-8161,271,2.5,40.2276755,-74.1453798
Pitman Place at Ocean Grove · Visited link,"20 Pitman Ave, Ocean Grove, NJ 07756",pitmanplaceatoceangrove.com,(732) 859-0565,8,4.9,40.2276755,-74.1453798
Avon Manor House at 322 · Visited link,"322 Sylvania Ave, Avon-By-The-Sea, NJ 07717",,(732) 776-7770,4,4.8,40.2276755,-74.1453798
Serenity Inn · Visited link,"32 Embury Ave, Ocean Grove, NJ 07756",,(732) 775-0117,19,2.9,40.2276755,-74.1453798
Quaker Inn · Visited link,"39 Main Ave, Ocean Grove, NJ 07756",,(732) 775-7525,,,40.2276755,-74.1453798
Beachliner Hotel · Visited link,"7 Main Ave, Ocean Grove, NJ 07756",hotels.cloudbeds.com,(732) 775-2424,85,3.7,40.2276755,-74.1453798
Cordova · Visited link,"26 Webb Ave, Ocean Grove, NJ 07756",,(732) 774-3084,9,3.0,40.2276755,-74.1453798
Chalet Motel · Visited link,"906 NJ-35, Ocean Township, NJ 07712",,(732) 775-4848,33,2.8,40.2276755,-74.1453798
Americas Best Value Inn Neptune · Visited link,"111 New York Rd, Neptune City, NJ 07753",,(732) 988-8750,244,2.6,40.2276755,-74.1453798
Colonial Motel · Visited link,"1730 Asbury Ave, Asbury Park, NJ 07712",,(732) 774-3099,62,2.5,40.2276755,-74.1453798
Fernwood Motel · Visited link,"2400 NJ-66, Neptune City, NJ 07753",,(732) 774-1506,73,2.4,40.2276755,-74.1453798
Circle Motel · Visited link,"1 Courtland St, Neptune City, NJ 07753",,(732) 776-7172,32,3.9,40.2276755,-74.1453798
OYO Hotel Neptune NJ Route 66 · Visited link,"3304 NJ-66, Neptune Township, NJ 07753",oyorooms.com,,47,2.1,40.2276755,-74.1453798
Corlies Motel · Visited link,"1601 NJ-33, Neptune City, NJ 07753",,(732) 774-8080,48,2.9,40.2276755,-74.1453798
Royal Inn · Visited link,"465A NJ-66, Neptune City, NJ 07753",,(732) 922-1920,43,3.7,40.2171921,-74.2442815
Tower Motel · Visited link,"1108 NJ-35, Ocean Township, NJ 07712",,(732) 531-1007,36,3.1,40.2171921,-74.2442815
Carasaljo Inn · Visited link,"450 Madison Ave, Lakewood, NJ 08701",,(848) 245-2903,75,3.2,40.0943534,-74.3618712
