name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
"Holiday Inn Hazlet, an IHG Hotel · Visited link","2870 NJ-35, Hazlet, NJ 07730",ihg.com,(732) 888-2000,868,3.7,40.1515837,-75.1870446
Best Western Hazlet Inn · Visited link,"3215 NJ-35, Hazlet, NJ 07730",bestwestern.com,(732) 888-2800,748,4.0,40.1515837,-75.1870446
Hampton Inn Cranbury · Visited link,"1261 S River Rd, Cranbury, NJ 08512",hilton.com,(609) 642-6440,345,4.6,40.1515837,-75.1870446
The Hub Middletown: A Best Western Signature Hotel · Visited link,"750 NJ-35, Middletown Township, NJ 07748",thehubmiddletown.com,(732) 671-3400,397,4.0,40.1515837,-75.1870446
Comfort Inn & Suites Somerset - New Brunswick · Visited link,"255 Davidson Ave, Somerset, NJ 08873",choicehotels.com,(848) 310-1334,515,3.8,40.1515837,-75.1870446
Days Inn by Wyndham Wrightstown McGuire AFB/Bordentown · Visited link,"507 E Main St, Wrightstown, NJ 08562",wyndhamhotels.com,(609) 723-6900,489,2.8,40.0372145,-75.7596145
The Hilltop Motel · Visited link,"126 NJ-68, Wrightstown, NJ 08562",thehilltopmotel.com,(609) 723-8333,199,4.3,40.0372145,-75.7596145
Best Western Rutgers University Hotel · Visited link,"195 NJ-18, East Brunswick, NJ 08816",bestwestern.com,(732) 828-6900,5,4.2,40.0372145,-75.7596145
Residence Inn by Marriott Cranbury South Brunswick · Visited link,"2662 US-130, East Windsor, NJ 08512",marriott.com,(609) 395-9447,423,4.1,40.0372145,-75.7596145
Residence Inn by Marriott Deptford · Visited link,"1154 Hurffville Rd, Deptford, NJ 08096",marriott.com,(856) 686-9188,490,3.7,40.0372145,-75.7596145
Lodge Inn · Visited link,"54 Fort Dix St, Wrightstown, NJ 08562",lodgeinnwrightstown.com,(609) 723-2323,150,4.1,40.0372145,-75.7596145
"Red Carpet Inn & Suites Monmouth Junction, NJ · Visited link","2070 US-130 North, Monmouth Junction, NJ 08852",redcarpetnj.com,(732) 305-7880,232,3.9,40.0372145,-75.7596145
Cappuccio's Hotel · Visited link,"2 Maplewood Ave, Keansburg, NJ 07734",,(732) 787-4333,33,3.2,40.0372145,-75.7596145
The Inn At The Shore · Visited link,"301 4th Ave, Belmar, NJ 07719",theinnattheshore.com,(732) 681-3762,86,4.9,40.1836112,-75.1694655
Raritan Hotel · Visited link,"1050 King Georges Post Rd, Fords, NJ 08863",choicehotels.com,(732) 661-1313,976,3.3,40.1836112,-75.1694655
Aloft Mount Laurel · Visited link,"558 Fellowship Rd, Mt Laurel Township, NJ 08054",marriott.com,(856) 234-1880,1245,4.2,39.931199,-76.1123346
MHO Inn & Suites · Visited link,"4191 US-1, Monmouth Junction, NJ 08852",mhohotels.com,(732) 329-4555,576,3.7,39.931199,-76.1123346
Days Inn by Wyndham Bordentown · Visited link,"1073 US-206, Fieldsboro, NJ 08505",wyndhamhotels.com,(609) 298-6100,302,3.4,39.931199,-76.1123346
Town House Motel · Visited link,"351 Franklin St, East Windsor, NJ 08520",,(609) 448-2400,55,3.4,39.931199,-76.1123346
Pine Cone Resort · Visited link,"340 Georgia Rd, Freehold Township, NJ 07728",pineconenj.com,(732) 462-2230,233,3.8,40.17919,-75.4291185
Family Campground · Visited link,"Freehold Township, NJ 07728",,(732) 462-7286,113,4.7,40.17919,-75.4291185
WyndhamHotel · Visited link,"Mt Laurel Township, NJ 08054",wyndhamhotels.com,,1222,3.5,39.9282289,-76.1078562
Express Inn · Visited link,"5309 Highway 33 And 34, 5309 NJ-33, Wall Township, NJ 07727",expressinnnj.com,,95,2.7,40.2238725,-75.292014
Carasaljo Inn · Visited link,"450 Madison Ave, Lakewood, NJ 08701",,(848) 245-2903,75,3.2,40.2238725,-75.292014
Quality Inn & Suites · Visited link,"2015 Burlington-Mount Holly Rd Route 541, Westampton, NJ 08060",choicehotels.com,,106,3.9,40.027252,-75.9723725
Red Bank Inn · Visited link,"169 Crown Point Rd, Thorofare, NJ 08086",,(856) 845-8520,95,3.0,40.027252,-75.9723725
Oakwood Motel · Visited link,"1210 US-130, Robbinsville Twp, NJ 08691",oakwood-motel.edan.io,(609) 490-0349,46,4.2,40.027252,-75.9723725
